phase	workload	variant	sample	started_utc	pid	quiet_vmrss_kib	vmhwm_kib	to_ready_ns	to_ready_ms	checksum	exit_code	stderr_file
warmup	lexer	eager	1	2026-08-30T05:17:15.791+00:00	4187	5228	9508	1461518536	1461.519	938400	0	logs/lexer-warmup-01-eager.stderr
warmup	lexer	candidate	1	2026-08-30T05:17:17.266+00:00	4189	4500	8780	1480755774	1480.756	938400	0	logs/lexer-warmup-01-candidate.stderr
warmup	lexer	glibc	1	2026-08-30T05:17:18.748+00:00	4191	8944	8944	1774042704	1774.043	938400	0	logs/lexer-warmup-01-glibc.stderr
warmup	lexer	mimalloc	1	2026-08-30T05:17:20.526+00:00	4193	8752	8752	1463755222	1463.755	938400	0	logs/lexer-warmup-01-mimalloc.stderr
sample	lexer	candidate	1	2026-08-30T05:17:21.992+00:00	4195	4496	8772	1475224501	1475.225	938400	0	logs/lexer-sample-01-candidate.stderr
sample	lexer	glibc	1	2026-08-30T05:17:22.912+00:00	4197	8940	8940	1783775106	1783.775	938400	0	logs/lexer-sample-01-glibc.stderr
sample	lexer	mimalloc	1	2026-08-30T05:17:24.697+00:00	4199	8752	8752	1518661999	1518.662	938400	0	logs/lexer-sample-01-mimalloc.stderr
sample	lexer	eager	1	2026-08-30T05:17:26.218+00:00	4201	5228	9572	1489846545	1489.847	938400	0	logs/lexer-sample-01-eager.stderr
sample	lexer	glibc	2	2026-08-30T05:17:27.709+00:00	4203	8948	8948	1765024039	1765.024	938400	0	logs/lexer-sample-02-glibc.stderr
sample	lexer	mimalloc	2	2026-08-30T05:17:29.476+00:00	4205	8752	8752	1467651227	1467.651	938400	0	logs/lexer-sample-02-mimalloc.stderr
sample	lexer	eager	2	2026-08-30T05:17:30.945+00:00	4207	5204	9480	1453449009	1453.449	938400	0	logs/lexer-sample-02-eager.stderr
sample	lexer	candidate	2	2026-08-30T05:17:32.401+00:00	4209	4492	8772	1435547487	1435.547	938400	0	logs/lexer-sample-02-candidate.stderr
sample	lexer	mimalloc	3	2026-08-30T05:17:33.838+00:00	4211	8752	8752	1454980367	1454.980	938400	0	logs/lexer-sample-03-mimalloc.stderr
