phase	workload	variant	sample	started_utc	pid	quiet_vmrss_kib	vmhwm_kib	to_ready_ns	to_ready_ms	checksum	exit_code	stderr_file
warmup	lexer	eager	1	2026-08-30T05:26:19.670+00:00	1249	5232	9572	1473121831	1473.122	938400	0	logs/lexer-warmup-01-eager.stderr
warmup	lexer	candidate	1	2026-08-30T05:26:21.157+00:00	1251	4492	8644	1454525806	1454.526	938400	0	logs/lexer-warmup-01-candidate.stderr
sample	lexer	candidate	1	2026-08-30T05:26:22.613+00:00	1253	4496	8772	1479874794	1479.875	938400	0	logs/lexer-sample-01-candidate.stderr
sample	lexer	eager	1	2026-08-30T05:26:24.095+00:00	1255	5228	9572	1465728437	1465.728	938400	0	logs/lexer-sample-01-eager.stderr
sample	lexer	eager	2	2026-08-30T05:26:25.562+00:00	1257	5228	9572	1476649617	1476.650	938400	0	logs/lexer-sample-02-eager.stderr
sample	lexer	candidate	2	2026-08-30T05:26:27.041+00:00	1259	4492	8708	1491676296	1491.676	938400	0	logs/lexer-sample-02-candidate.stderr
sample	lexer	candidate	3	2026-08-30T05:26:28.534+00:00	1261	4504	8704	1465470627	1465.471	938400	0	logs/lexer-sample-03-candidate.stderr
sample	lexer	eager	3	2026-08-30T05:26:30.001+00:00	1263	5232	9572	1469182250	1469.182	938400	0	logs/lexer-sample-03-eager.stderr
sample	lexer	eager	4	2026-08-30T05:26:31.472+00:00	1265	5228	9572	1488344244	1488.344	938400	0	logs/lexer-sample-04-eager.stderr
sample	lexer	candidate	4	2026-08-30T05:26:32.962+00:00	1267	4500	8780	1478503104	1478.503	938400	0	logs/lexer-sample-04-candidate.stderr
sample	lexer	candidate	5	2026-08-30T05:26:34.442+00:00	1269	4492	8772	1470679586	1470.680	938400	0	logs/lexer-sample-05-candidate.stderr
sample	lexer	eager	5	2026-08-30T05:26:35.354+00:00	1271	5228	9572	1466248623	1466.249	938400	0	logs/lexer-sample-05-eager.stderr
sample	lexer	eager	6	2026-08-30T05:26:36.822+00:00	1273	5228	9572	1461148688	1461.149	938400	0	logs/lexer-sample-06-eager.stderr
sample	lexer	candidate	6	2026-08-30T05:26:38.285+00:00	1275	4448	8664	1444527767	1444.528	938400	0	logs/lexer-sample-06-candidate.stderr
