workload	variant	runtime_source	runtime_c_md5	runtime_h_md5	emitted_c_md5	program_header_source	program_header_md5	program_object_md5	defines	link_args	program_compile_command	runtime_compile_command	link_command	program_compile_ms	runtime_compile_ms	link_ms	executable	executable_bytes	executable_md5
lexer	eager	eager	9b7f124cb7a6f5470c13de65155d5565	cb150fa04ffc5e7b595b0069ed4afe6e	be5ee24701032393e29e7b159913a386	eager	cb150fa04ffc5e7b595b0069ed4afe6e	4e5b6c262744f5588d783aebc8bc59d6			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/lexer.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/lexer-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-eager.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/lexer-eager /home/justinqi/dawn-slab-issue10-final32768/build/obj/lexer-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-eager.o -lm	2390.265	440.657	64.200	/home/justinqi/dawn-slab-issue10-final32768/build/bin/lexer-eager	406104	6a2068f57379c1ed3abb8e87e977ebcd
lexer	candidate	candidate	814029ab911960b5c4e3cd41ca9da0c2	cb150fa04ffc5e7b595b0069ed4afe6e	be5ee24701032393e29e7b159913a386	eager	cb150fa04ffc5e7b595b0069ed4afe6e	4e5b6c262744f5588d783aebc8bc59d6			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/lexer.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/lexer-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-candidate.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/lexer-candidate /home/justinqi/dawn-slab-issue10-final32768/build/obj/lexer-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-candidate.o -lm	2390.265	444.258	61.611	/home/justinqi/dawn-slab-issue10-final32768/build/bin/lexer-candidate	406144	bafe57b72bab3c2ebb218620f86d3cb4
lexer	glibc	candidate	814029ab911960b5c4e3cd41ca9da0c2	cb150fa04ffc5e7b595b0069ed4afe6e	be5ee24701032393e29e7b159913a386	eager	cb150fa04ffc5e7b595b0069ed4afe6e	4e5b6c262744f5588d783aebc8bc59d6	-DDAWN_NO_SLAB		cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/lexer.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/lexer-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -DDAWN_NO_SLAB -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-noslab.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/lexer-glibc /home/justinqi/dawn-slab-issue10-final32768/build/obj/lexer-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-noslab.o -lm	2390.265	405.139	63.474	/home/justinqi/dawn-slab-issue10-final32768/build/bin/lexer-glibc	405456	c115d0359046c7d68ec59aa11ecbecd4
lexer	mimalloc	candidate	814029ab911960b5c4e3cd41ca9da0c2	cb150fa04ffc5e7b595b0069ed4afe6e	be5ee24701032393e29e7b159913a386	eager	cb150fa04ffc5e7b595b0069ed4afe6e	4e5b6c262744f5588d783aebc8bc59d6	-DDAWN_NO_SLAB	-lmimalloc	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/lexer.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/lexer-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -DDAWN_NO_SLAB -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-noslab.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/lexer-mimalloc /home/justinqi/dawn-slab-issue10-final32768/build/obj/lexer-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-noslab.o -lmimalloc -lm	2390.265	405.139	74.772	/home/justinqi/dawn-slab-issue10-final32768/build/bin/lexer-mimalloc	405408	a6810e230d4fbb0529e915375313d081
rbtree	eager	eager	9b7f124cb7a6f5470c13de65155d5565	cb150fa04ffc5e7b595b0069ed4afe6e	0d6a90524e4b55984a387e401e8325f2	eager	cb150fa04ffc5e7b595b0069ed4afe6e	a6f98c58f3e4161791e1d3ea7b89e40d			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/rbtree.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/rbtree-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-eager.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/rbtree-eager /home/justinqi/dawn-slab-issue10-final32768/build/obj/rbtree-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-eager.o -lm	1969.992	440.657	60.717	/home/justinqi/dawn-slab-issue10-final32768/build/bin/rbtree-eager	324088	496d1533da41bfdfc9dc57ada2e9a64e
rbtree	candidate	candidate	814029ab911960b5c4e3cd41ca9da0c2	cb150fa04ffc5e7b595b0069ed4afe6e	0d6a90524e4b55984a387e401e8325f2	eager	cb150fa04ffc5e7b595b0069ed4afe6e	a6f98c58f3e4161791e1d3ea7b89e40d			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/rbtree.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/rbtree-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-candidate.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/rbtree-candidate /home/justinqi/dawn-slab-issue10-final32768/build/obj/rbtree-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-candidate.o -lm	1969.992	444.258	61.516	/home/justinqi/dawn-slab-issue10-final32768/build/bin/rbtree-candidate	324128	00171d3f9547b53c03499b1b8d3bec58
rbtree	glibc	candidate	814029ab911960b5c4e3cd41ca9da0c2	cb150fa04ffc5e7b595b0069ed4afe6e	0d6a90524e4b55984a387e401e8325f2	eager	cb150fa04ffc5e7b595b0069ed4afe6e	a6f98c58f3e4161791e1d3ea7b89e40d	-DDAWN_NO_SLAB		cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/rbtree.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/rbtree-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -DDAWN_NO_SLAB -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-noslab.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/rbtree-glibc /home/justinqi/dawn-slab-issue10-final32768/build/obj/rbtree-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-noslab.o -lm	1969.992	405.139	61.021	/home/justinqi/dawn-slab-issue10-final32768/build/bin/rbtree-glibc	319344	97834e7a7a2c918ce7b7938e46adb36e
rbtree	mimalloc	candidate	814029ab911960b5c4e3cd41ca9da0c2	cb150fa04ffc5e7b595b0069ed4afe6e	0d6a90524e4b55984a387e401e8325f2	eager	cb150fa04ffc5e7b595b0069ed4afe6e	a6f98c58f3e4161791e1d3ea7b89e40d	-DDAWN_NO_SLAB	-lmimalloc	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/rbtree.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/rbtree-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -DDAWN_NO_SLAB -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-noslab.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/rbtree-mimalloc /home/justinqi/dawn-slab-issue10-final32768/build/obj/rbtree-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-noslab.o -lmimalloc -lm	1969.992	405.139	61.782	/home/justinqi/dawn-slab-issue10-final32768/build/bin/rbtree-mimalloc	319288	2839c5adbf003b746619cf62d61e9964
compiler	eager	eager	9b7f124cb7a6f5470c13de65155d5565	cb150fa04ffc5e7b595b0069ed4afe6e	0b6a2fb1712f7240a9c9e0a2916730c3	eager	cb150fa04ffc5e7b595b0069ed4afe6e	47ad05b21b3e493a25c864b444c00e3b			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/compiler.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/compiler-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-eager.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/compiler-eager /home/justinqi/dawn-slab-issue10-final32768/build/obj/compiler-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-eager.o -lm	32792.572	440.657	90.733	/home/justinqi/dawn-slab-issue10-final32768/build/bin/compiler-eager	4660512	c398aa6ad819145401f138b91d4f5aa5
compiler	candidate	candidate	814029ab911960b5c4e3cd41ca9da0c2	cb150fa04ffc5e7b595b0069ed4afe6e	0b6a2fb1712f7240a9c9e0a2916730c3	eager	cb150fa04ffc5e7b595b0069ed4afe6e	47ad05b21b3e493a25c864b444c00e3b			cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-eager -c /home/justinqi/dawn-slab-issue10-final32768/build/emitted/compiler.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/compiler-program-cb150fa04ffc.o	cc -std=c11 -O2 -fwrapv -fexceptions -fno-strict-aliasing -pthread -I /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate -c /home/justinqi/dawn-slab-issue10-final32768/build/runtime-candidate/dawn_rt.c -o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-candidate.o	cc -pthread -o /home/justinqi/dawn-slab-issue10-final32768/build/bin/compiler-candidate /home/justinqi/dawn-slab-issue10-final32768/build/obj/compiler-program-cb150fa04ffc.o /home/justinqi/dawn-slab-issue10-final32768/build/obj/runtime-candidate.o -lm	32792.572	444.258	87.814	/home/justinqi/dawn-slab-issue10-final32768/build/bin/compiler-candidate	4660552	e55dcb5fd5fa2fb1a56560d2452fc0e2
