phase	workload	variant	sample	started_utc	pid	quiet_vmrss_kib	vmhwm_kib	to_ready_ns	to_ready_ms	checksum	exit_code	stderr_file
warmup	lexer	eager	1	2026-08-30T05:00:39.620+00:00	1688	5228	9508	1479220808	1479.221	938400	0	logs/lexer-warmup-01-eager.stderr
warmup	lexer	candidate	1	2026-08-30T05:00:41.102+00:00	1690	4496	8804	1471160561	1471.161	938400	0	logs/lexer-warmup-01-candidate.stderr
warmup	lexer	glibc	1	2026-08-30T05:00:42.575+00:00	1692	8948	8948	1756818751	1756.819	938400	0	logs/lexer-warmup-01-glibc.stderr
warmup	lexer	mimalloc	1	2026-08-30T05:00:44.333+00:00	1694	8744	8744	1523592974	1523.593	938400	0	logs/lexer-warmup-01-mimalloc.stderr
sample	lexer	candidate	1	2026-08-30T05:00:45.858+00:00	1696	4496	8804	1472034267	1472.034	938400	0	logs/lexer-sample-01-candidate.stderr
sample	lexer	glibc	1	2026-08-30T05:00:47.332+00:00	1698	8940	8940	1829817644	1829.818	938400	0	logs/lexer-sample-01-glibc.stderr
sample	lexer	mimalloc	1	2026-08-30T05:00:49.166+00:00	1700	8744	8744	1483478988	1483.479	938400	0	logs/lexer-sample-01-mimalloc.stderr
sample	lexer	eager	1	2026-08-30T05:00:50.653+00:00	1702	5240	9436	1487490174	1487.490	938400	0	logs/lexer-sample-01-eager.stderr
sample	lexer	glibc	2	2026-08-30T05:00:52.143+00:00	1704	8948	8948	1797779735	1797.780	938400	0	logs/lexer-sample-02-glibc.stderr
sample	lexer	mimalloc	2	2026-08-30T05:00:53.942+00:00	1706	8752	8752	1470657758	1470.658	938400	0	logs/lexer-sample-02-mimalloc.stderr
sample	lexer	eager	2	2026-08-30T05:00:54.812+00:00	1708	5228	9508	1461982174	1461.982	938400	0	logs/lexer-sample-02-eager.stderr
sample	lexer	candidate	2	2026-08-30T05:00:56.276+00:00	1710	4492	8804	1436853689	1436.854	938400	0	logs/lexer-sample-02-candidate.stderr
sample	lexer	mimalloc	3	2026-08-30T05:00:57.714+00:00	1712	8752	8752	1454635799	1454.636	938400	0	logs/lexer-sample-03-mimalloc.stderr
sample	lexer	eager	3	2026-08-30T05:00:59.171+00:00	1714	5220	9500	1507819771	1507.820	938400	0	logs/lexer-sample-03-eager.stderr
sample	lexer	candidate	3	2026-08-30T05:01:00.680+00:00	1716	4500	8872	1456457190	1456.457	938400	0	logs/lexer-sample-03-candidate.stderr
sample	lexer	glibc	3	2026-08-30T05:01:02.138+00:00	1718	8940	8940	1771803232	1771.803	938400	0	logs/lexer-sample-03-glibc.stderr
sample	lexer	eager	4	2026-08-30T05:01:03.912+00:00	1720	5224	9504	1564228029	1564.228	938400	0	logs/lexer-sample-04-eager.stderr
sample	lexer	candidate	4	2026-08-30T05:01:05.478+00:00	1722	4488	8676	1456142207	1456.142	938400	0	logs/lexer-sample-04-candidate.stderr
sample	lexer	glibc	4	2026-08-30T05:01:06.936+00:00	1724	8940	8940	1748925938	1748.926	938400	0	logs/lexer-sample-04-glibc.stderr
sample	lexer	mimalloc	4	2026-08-30T05:01:08.686+00:00	1726	8752	8752	1455493048	1455.493	938400	0	logs/lexer-sample-04-mimalloc.stderr
sample	lexer	candidate	5	2026-08-30T05:01:10.143+00:00	1728	4492	8740	1459786964	1459.787	938400	0	logs/lexer-sample-05-candidate.stderr
sample	lexer	glibc	5	2026-08-30T05:01:11.605+00:00	1730	8940	8940	1749190698	1749.191	938400	0	logs/lexer-sample-05-glibc.stderr
sample	lexer	mimalloc	5	2026-08-30T05:01:13.358+00:00	1732	8752	8752	1538511290	1538.511	938400	0	logs/lexer-sample-05-mimalloc.stderr
sample	lexer	eager	5	2026-08-30T05:01:14.899+00:00	1734	5228	9508	1466229758	1466.230	938400	0	logs/lexer-sample-05-eager.stderr
warmup	rbtree	eager	1	2026-08-30T05:01:16.367+00:00	1736	2828	20100	2052951853	2052.952	2422197960096	0	logs/rbtree-warmup-01-eager.stderr
warmup	rbtree	candidate	1	2026-08-30T05:01:18.421+00:00	1738	2560	19748	1988091001	1988.091	2422197960096	0	logs/rbtree-warmup-01-candidate.stderr
warmup	rbtree	glibc	1	2026-08-30T05:01:20.411+00:00	1740	24300	24300	2594461696	2594.462	2422197960096	0	logs/rbtree-warmup-01-glibc.stderr
warmup	rbtree	mimalloc	1	2026-08-30T05:01:23.009+00:00	1742	20176	20176	2133603193	2133.603	2422197960096	0	logs/rbtree-warmup-01-mimalloc.stderr
sample	rbtree	candidate	1	2026-08-30T05:01:25.147+00:00	1744	2572	19780	2048704326	2048.704	2422197960096	0	logs/rbtree-sample-01-candidate.stderr
sample	rbtree	glibc	1	2026-08-30T05:01:26.595+00:00	1746	24296	24296	2566650932	2566.651	2422197960096	0	logs/rbtree-sample-01-glibc.stderr
sample	rbtree	mimalloc	1	2026-08-30T05:01:29.166+00:00	1748	20176	20176	2148135933	2148.136	2422197960096	0	logs/rbtree-sample-01-mimalloc.stderr
sample	rbtree	eager	1	2026-08-30T05:01:31.318+00:00	1750	2828	20092	2004906034	2004.906	2422197960096	0	logs/rbtree-sample-01-eager.stderr
sample	rbtree	glibc	2	2026-08-30T05:01:33.324+00:00	1752	24296	24296	2558237529	2558.238	2422197960096	0	logs/rbtree-sample-02-glibc.stderr
sample	rbtree	mimalloc	2	2026-08-30T05:01:35.886+00:00	1754	20176	20176	2053531144	2053.531	2422197960096	0	logs/rbtree-sample-02-mimalloc.stderr
sample	rbtree	eager	2	2026-08-30T05:01:37.944+00:00	1756	2828	20000	2011017640	2011.018	2422197960096	0	logs/rbtree-sample-02-eager.stderr
sample	rbtree	candidate	2	2026-08-30T05:01:39.957+00:00	1758	2572	19812	1982393449	1982.393	2422197960096	0	logs/rbtree-sample-02-candidate.stderr
sample	rbtree	mimalloc	3	2026-08-30T05:01:41.941+00:00	1760	20172	20172	2042064628	2042.065	2422197960096	0	logs/rbtree-sample-03-mimalloc.stderr
sample	rbtree	eager	3	2026-08-30T05:01:43.987+00:00	1762	2828	20112	2018668539	2018.669	2422197960096	0	logs/rbtree-sample-03-eager.stderr
sample	rbtree	candidate	3	2026-08-30T05:01:46.007+00:00	1764	2572	19816	2000929314	2000.929	2422197960096	0	logs/rbtree-sample-03-candidate.stderr
sample	rbtree	glibc	3	2026-08-30T05:01:48.010+00:00	1766	24300	24300	2741766110	2741.766	2422197960096	0	logs/rbtree-sample-03-glibc.stderr
sample	rbtree	eager	4	2026-08-30T05:01:50.755+00:00	1768	2832	20232	2076630693	2076.631	2422197960096	0	logs/rbtree-sample-04-eager.stderr
sample	rbtree	candidate	4	2026-08-30T05:01:52.834+00:00	1770	2572	19820	1984229370	1984.229	2422197960096	0	logs/rbtree-sample-04-candidate.stderr
sample	rbtree	glibc	4	2026-08-30T05:01:54.819+00:00	1772	24296	24296	2578280941	2578.281	2422197960096	0	logs/rbtree-sample-04-glibc.stderr
sample	rbtree	mimalloc	4	2026-08-30T05:01:57.402+00:00	1774	20152	20152	2155598954	2155.599	2422197960096	0	logs/rbtree-sample-04-mimalloc.stderr
sample	rbtree	candidate	5	2026-08-30T05:01:58.933+00:00	1776	2576	19836	2016484718	2016.485	2422197960096	0	logs/rbtree-sample-05-candidate.stderr
sample	rbtree	glibc	5	2026-08-30T05:02:00.951+00:00	1778	24296	24296	2639998746	2639.999	2422197960096	0	logs/rbtree-sample-05-glibc.stderr
sample	rbtree	mimalloc	5	2026-08-30T05:02:03.595+00:00	1780	20176	20176	2051302553	2051.303	2422197960096	0	logs/rbtree-sample-05-mimalloc.stderr
sample	rbtree	eager	5	2026-08-30T05:02:05.650+00:00	1782	2828	20008	2077759319	2077.759	2422197960096	0	logs/rbtree-sample-05-eager.stderr
warmup	compiler	eager	1	2026-08-30T05:02:07.730+00:00	1784	22516	317412	8675323461	8675.323	15669348	0	logs/compiler-warmup-01-eager.stderr
warmup	compiler	candidate	1	2026-08-30T05:02:16.409+00:00	1786	18912	313872	8555479689	8555.480	15669348	0	logs/compiler-warmup-01-candidate.stderr
warmup	compiler	glibc	1	2026-08-30T05:02:24.968+00:00	1788	267120	328664	11347635846	11347.636	15669348	0	logs/compiler-warmup-01-glibc.stderr
warmup	compiler	mimalloc	1	2026-08-30T05:02:35.717+00:00	1790	191032	315248	9588981424	9588.981	15669348	0	logs/compiler-warmup-01-mimalloc.stderr
sample	compiler	candidate	1	2026-08-30T05:02:45.323+00:00	1792	18932	313828	8540430651	8540.431	15669348	0	logs/compiler-sample-01-candidate.stderr
sample	compiler	glibc	1	2026-08-30T05:02:53.867+00:00	1794	267124	328648	11372180405	11372.180	15669348	0	logs/compiler-sample-01-glibc.stderr
sample	compiler	mimalloc	1	2026-08-30T05:03:04.630+00:00	1796	191096	315332	9605479853	9605.480	15669348	0	logs/compiler-sample-01-mimalloc.stderr
sample	compiler	eager	1	2026-08-30T05:03:14.252+00:00	1798	22496	317396	8676561603	8676.562	15669348	0	logs/compiler-sample-01-eager.stderr
sample	compiler	glibc	2	2026-08-30T05:03:22.932+00:00	1800	267128	328648	11317835896	11317.836	15669348	0	logs/compiler-sample-02-glibc.stderr
sample	compiler	mimalloc	2	2026-08-30T05:03:34.267+00:00	1802	191032	315252	9627682486	9627.682	15669348	0	logs/compiler-sample-02-mimalloc.stderr
sample	compiler	eager	2	2026-08-30T05:03:43.286+00:00	1806	22496	317460	8662907486	8662.907	15669348	0	logs/compiler-sample-02-eager.stderr
sample	compiler	candidate	2	2026-08-30T05:03:51.953+00:00	1808	18896	313744	8760252212	8760.252	15669348	0	logs/compiler-sample-02-candidate.stderr
sample	compiler	mimalloc	3	2026-08-30T05:04:00.717+00:00	1810	191256	315436	9558318992	9558.319	15669348	0	logs/compiler-sample-03-mimalloc.stderr
